,Course,name,description,distance,elevation_gain,Course.1,id,Hilly,Distance_km,Technical,Final_km
0,Handcross,Handcross - Surrey League,,14662.280046598396,173.8670777908489,Handcross,7570366,0.02371624020797304,14.662280046598394,0.0174005691552,0.023037413119900003
1,Ditchling Common,Ditchling Common - Surrey League,,9653.022172751558,89.54507586769883,Ditchling Common,7570312,0.018552754622374254,9.65302217275156,0.0475107044336,-0.007829846777079999
2,Cutmill,Cutmill - Surrey League,,11194.988587135125,134.17806839183268,Cutmill,7570276,0.023971095164138933,11.194988587135125,0.0237207521997,0.0363253833731
3,Coolham,Coolham - Surrey League,,10683.559809465709,71.19431987515269,Coolham,7570223,0.013327827268224587,10.683559809465713,0.023806715206,0.00600703893572
4,Charlwood,Charlwood - Surrey League,,10618.257423008312,62.60730221299981,Charlwood,7570213,0.011792387341700407,10.618257423008313,0.0274943984005,0.030939563067
5,Bletchingley,Bletchingley - Surrey League,,16425.44176685659,215.71107249219017,Bletchingley,7570195,0.026265481994822686,16.42544176685659,0.039853177884,0.053073812501300006
6,Beachy Head,Beachy Head - Surrey League,,11619.86350395381,227.74370016022343,Beachy Head,7570157,0.039199031913366406,11.619863503953807,0.0266815481348,-0.0134803797205
7,Alfold,Alfold - Surrey League,,19985.992723965657,175.33564218782726,Alfold,7570137,0.017545852698883285,19.98599272396566,0.0394528672309,0.00649257069519
8,Hellingly,Hellingly - Surrey League,,16971.40025711969,229.13371415144755,Hellingly,7543267,0.02700233459585321,16.97140025711969,0.028269146051099998,-0.0022131332674
9,Hungry Hill,Hungry Hill - Surrey League,,11559.704638526797,110.9457590956864,Hungry Hill,7543222,0.019195258454255053,11.559704638526794,0.0307214472272,0.009034793047409999
10,Ladies Mile,Ladies Mile - Surrey League,,6464.130557987646,92.31963307743077,Ladies Mile,7543189,0.02856366598702204,6.464130557987647,0.029158170182599998,0.036138425084599995
11,Laughton,Laughton - Surrey League,,10869.331570176852,51.81260740568498,Laughton,7543166,0.00953372469524213,10.869331570176852,0.040889443877,0.007008759748749999
12,Lingfield,Lingfield - (Finish on Mutton Hill) Surrey League,,24085.96143238353,310.77765555265586,Lingfield,7543143,0.025805708974923108,24.08596143238353,0.0375370545519,0.0269025846379
13,Ottershaw,Ottershaw - Surrey League,,6000.690562648765,60.52486282758268,Ottershaw,7543087,0.02017263253143532,6.0006905626487645,0.0384175274761,0.015916842687899998
14,Newchapel,Newchapel - Surrey League,,4738.277566734466,11.722770000110414,Newchapel,7543067,0.0049481145141902425,4.738277566734466,0.00987830347623,0.000803970757264
15,Newdigate,Newdigate - Surrey League,,12886.540320639597,97.09142740984957,Newdigate,7543016,0.015068656907757326,12.886540320639597,0.0333081085701,0.013663067512
16,South Nutfield,South Nutfield - Surrey League,,10618.751015507954,98.85774569918988,South Nutfield,7542997,0.01861946768594818,10.618751015507954,0.0541523932637,0.021175550654099998
17,Kitsmead Lane,Kitsmead Lane - Surrey League,,4604.342065443159,36.04437967033128,Kitsmead Lane,7542941,0.015656690644621805,4.604342065443159,0.0170187831971,0.0031545814988000005
18,Alfold / Dunsfold,Alfold / Dunsfold - Surrey League,,25324.49243614437,220.17266764754768,Alfold / Dunsfold,7537086,0.0173881208638406,25.32449243614437,0.0453879473079,0.00334979079118
19,Staple Hill,Staple Hill - Surrey League,,4703.388108806214,65.53859262031385,Staple Hill,7528895,0.027868673009401497,4.703388108806214,0.026277584241400004,0.016499062100500003
20,Staplefield,Staplefield - Surrey League,,21227.647584954844,284.76977842548433,Staplefield,7528860,0.026830083482949442,21.227647584954845,0.031572522151599995,-0.00495682909294
21,Wivelsfield,Wivelsfield - Surrey League,,6975.164027841306,71.37563410210248,Wivelsfield,7528828,0.02046565036096851,6.9751640278413065,0.045484234942,-0.0030427554014299998
22,Seale,Seale - Surrey League,,6255.832054663625,87.82187378638248,Seale,6243437,0.028076800342142383,6.255832054663626,0.029360968928099997,-0.0182983920395
23,Miland Hill,Miland Hill - Surrey League,,11416.576566238427,153.01652221296172,Miland Hill,6243417,0.026806025663677242,11.416576566238428,0.049140852290199995,0.0657138904435
24,Sharpthorne,Sharpthorne - Surrey League,,20473.57696502057,327.89139461781826,Sharpthorne,6243346,0.03203068962282712,20.473576965020566,0.0703362520931,0.0325762646722
25,Norwood Hill,Norwood Hill - Surrey League,,16106.193968074394,158.10817424184157,Norwood Hill,6243264,0.019633213725755782,16.106193968074393,0.0428771152269,0.00398932483325
26,Dunsfold,Dunsfold - Surrey League,,10900.144618302387,114.51485884418557,Dunsfold,6243218,0.021011621928741047,10.900144618302386,0.0285530835447,0.020883311594
27,Barcombe,Barcombe - Surrey League,,12158.745818503421,153.56668721423554,Barcombe,6243168,0.025260284161962614,12.158745818503421,0.0492634424336,0.0140459166535
28,Parham,Parham - Surrey League,,4683.661529297417,39.16443825394046,Parham,6241846,0.016723855047576598,4.683661529297416,0.0260406432687,0.0037898656073800004
29,Alford / Kirdford,Alford / Kirdford - Surrey League,,27736.06847432328,216.40921943113997,Alford / Kirdford,6241764,0.01560489509401675,27.736068474323282,0.047758571826099994,-0.0037819998595300004
30,Kirdford,Kirdford - Surrey League,Surrey League course Kirdford. ,15796.026250698374,121.80023462830879,Kirdford,6191274,0.01542162980679065,15.796026250698375,0.0467302396598,0.00326885899236
